Version	Filename	Package
2.6.21.0	mandatory_sow	Core
2.6.22.0	shipping_protocols	Core
2.6.23.0	sow_jira_tickets	JIRA
2.6.24.0	Parameter_Type_enum	Core
2.6.25.0	edit_subscription	Core
2.6.26.0	update_Submission_Volume	Experiment
2.6.27.0	add_Release_Date	Software_Analysis
2.6.28.0	add_FK_Pipeline__ID_to_SolexaAnalysis	Illumina
2.6.29.0	rename_FKAnalysis_Pipeline__ID	Illumina
2.6.30.0	Alignment_Analysis	Alignment_Analysis
2.6.31.0	Add_Adapter_Index_Sequence	Illumina
3.0.2.0	change_Organization_Type	Core
2.6.32.0	list_condition	Core
2.6.33.0	trigger_field	Core
2.6.34.0	source_shipment	Core
2.6.36.0	modify_shipment_container	Core
2.6.37.0	Run_Analysis	Software_Analysis
2.6.38.0	add_Submission_Type	Experiment
2.6.39.0	add_Submission_Organization	Experiment
3.0.3.0	update_Organization_Type	Core
2.6.40.0	update_attribute_tables	Core
2.6.40.1	update_attribute_tables_genechip	Microarray
2.6.40.2	update_attribute_tables_workpackage	Issue_Tracking
2.6.41.0	add_enum_to_RNADNA	Genomic
2.6.43.0	SOLID_Run_Analysis	SOLID
2.6.44.0	Run_Analysis_upgrade	Software_Analysis
2.6.45.0	SOLID_Run_table_update	SOLID
2.6.46.0	add_flowcell_position	Illumina
2.6.47.0	add_Patient_Attribute	Patient
2.6.48.0	Run_Analysis_Attribute	Software_Analysis
2.6.49.0	Add_Genome_to_SOLID_Run_Analysis	SOLID
2.6.50.0	Multiplex_Run_Analysis	Indexed_Run
2.6.51.0	Multiplex_SolexaRun_Analysis	Illumina
2.6.52.0	Multiplex_SOLID_Run_Analysis	SOLID
2.6.53.0	DBField_Readonly	Core
2.6.54.0	Tissue_Reorganization	Biology
2.6.55.0	Run_Analysis_Current_Analysis	Software_Analysis
2.6.56.0	Add_Genome_URL	Genomic
2.6.57.0	add_submission_requester	Core
2.6.58.0	install_CLIPR_Run_2_6	CLIPR
2.6.59.0	install_CLIPR_Run_Analysis_2_6	CLIPR
2.6.60.0	install_Multiplex_CLIPR_Run_Analysis_2_6	CLIPR
2.6.61.0	SRA_Object	SRA
2.6.62.0	SRA_Object_Submission_Volume	SRA
2.6.63.0	SRA_Object_Attribute	SRA
2.6.64.0	Multiplex_Run_Analysis_Update	Indexed_Run
2.6.65.0	Anatomic_Site_Primary	Biology
2.6.66.0	NOS	Biology
2.6.67.0	Add_Sample_ID_to_SOLID_Run_Analysis	SOLID
2.6.68.0	Multiplex_Run_Analysis_Attribute	Indexed_Run
2.6.69.0	Funding_Attribute	Core
2.6.70.0	Cell_Type	Biology
2.6.71.0	Attribute_Editable_Readonly	Core
2.6.72.0	Disease_Status	Biology
2.6.73.0	source_shipment_expand	Core
2.6.74.0	rename_trigger	Core
2.6.75.0	tumour	Biology
2.6.76.0	add_Xenograft	Biology
2.6.77.0	add_Patient_Treatment	Patient
2.6.78.0	replacement	Core
2.6.79.0	add_Source	Lab
2.6.80.0	update_Obsolete_2_6	Obsolete
2.6.81.0	install_Obsolete_2_6	Obsolete
2.6.82.0	move_Xenograft	Biology
2.6.83.0	Solexa_Run_Analysis	Illumina
2.6.84.0	add_Ion_Torrent_Run_2_6	Ion_Torrent
2.6.85.0	add_Ion_Torrent_Run_Analysis_2_6	Ion_Torrent
2.6.86.0	Nature_enum_Change	Genomic
2.6.87.0	auto_increment_trigger_id	Core
2.6.88.0	install_Ion_Torrent_2_6	Ion_Torrent
2.6.89.0	Pathology_type	Biology
2.6.90.0	OS_pathology_upgrades	Biology
2.6.91.0	parameter_extra_units	Core
3.0.4.0	upgrade_Genomic_2_7	Genomic
2.6.92.0	Work_Request_field	Core
3.0.5.0	Biomaterial_Type	Core
3.0.6.0	OS_Flip	Core
3.0.7.0	Biomaterial_Type_Final	Core
3.1.1.0	Invertebrate	Core
3.1.2.0	general_2_7_1_changes	Core
3.1.3.0	Process_Deviation	Core
3.2.1.0	Roundtrip	Core
3.2.2.0	Add_Q20_30_to_SolexaAnalysis	Illumina
3.3.1.0	Rename_Q20_30_to_SolexaAnalysis	Illumina
3.3.2.0	Add_Multiplex_Run_QC_Status	Indexed_Run
3.3.3.0	Add_Sample_ID_To_Run_Analysis	Core
3.3.4.0	add_aligned_length_to_Solexa_Run_Analysis	Illumina
3.3.5.0	Source_Type_Section	Core
3.3.6.0	FKOriginal_Source__ID	Core
3.3.7.0	Management_Dept	Core
3.3.8.0	update_Trace_Submission	SRA
3.3.9.0	Strain_Table	Core
3.3.10.0	Sex_Fields	Core
3.3.11.0	Parameter_Units	Core
3.4.1.0	Pathology_Occurence	Core
3.4.2.0	Removed_DBField	Core
3.5.1.0	TechD_Access	Core
3.5.2.0	Sample_Collection_Time	Core
3.5.3.0	Alter_Run_Analysis_Type	Core
3.5.4.0	RNA_Strategy	Core
3.6.1.0	add_stage_3_6	Core
3.6.2.0	Solexa_Read	Illumina
3.6.3.0	Projects_Admin_Invoicing	Core
3.5.5.0	Patient_Identifier_Unique	Patient
3.6.4.0	Open_Solution	Core
3.7.1.0	Change_Goal_Type	Core
3.7.2.0	Library_Billable	Core
3.7.3.0	Projects_Admin_Invoicing_v2	Core
3.8.1.0	Pathology_Stage_3_8	Core
3.8.2.0	Bioinformatics_Goal_Library_Analysis_Status	Core
3.8.3.0	Invoicing_Normalization	Core
3.8.4.0	Link_Src_to_Work_Request	Core
3.8.5.0	Admin_Editable_Fields	Core
3.8.6.0	add_submission_objects	SRA
3.8.7.0	Update_Src_Numbers	Core
3.9.1.0	Change_Invoice_fields	Core
3.9.8.0	Backfill_Work_Request_FK_Source__ID	Core
3.9.3.0	sample_origin_type_3_9	Core
3.9.4.0	Cascading_Goals	Core
3.9.5.0	Shipment_Submission	Core
3.9.7.0	Backfill_Invoiceable_Work_Comment	Core
3.10.1.0	Run_Analysis_Status	Core
3.10.2.0	shippin_container	Core
3.10.3.0	QC_Status	Core
3.10.4.0	Fix_Invoiceable_Work_Comments	Core
3.10.5.0	Redefined_Status	Core
3.10.7.0	Change_Invoice_Code_to_unique	Core
3.10.8.0	Add_Invoiced_field_to_Invoiceable_Work	Core
3.10.9.0	pair_shipment	Core
3.10.10.0	Solexa_Read_Number_Mismatched_Reads	Illumina
3.10.11.0	Addition_Invoiceable_Work_Tracking	Core
3.10.12.0	Assembly_Sequence	SRA
3.10.13.0	Flowcll_Reagent_Cartridge	Illumina
3.10.14.0	Add_Attribute_Description	Core
3.10.15.0	Add_Funding_to_Invoiceable_Work	Core
3.10.16.0	Genome_Reference_Sort_Order	Alignment_Analysis
3.11.1.0	submission_file_man	Core
3.11.2.0	add_invoice_name_field	Core
3.11.3.0	Analysis_File	SRA
3.11.4.0	rename_Chromosome	SRA
3.11.5.0	trim_whitespaces	Core
3.11.6.0	add_Batch_Trigger	Core
3.11.7.0	install_Qubit_Run_3_11	Qubit
3.11.8.0	install_Qubit_Run_Analysis_3_11	Qubit
3.11.9.0	install_Multiplex_Qubit_Run_Analysis_3_11	Qubit
3.11.10.0	add_rack_full	Core
3.11.11.0	add_parent_run_analysis	Core
3.11.12.0	update_Lab_Protocol_Status	Core
3.11.13.0	Invoice_Draft_Name_changes	Core
3.12.1.0	virtual_shipment	Core
3.12.3.0	1_Creating_Invoiceable_Work_Reference_Table	Core
3.12.4.0	Genome_Default	Alignment_Analysis
3.12.5.0	add_work_request_created_by	Core
3.11.14.0	Adding_QC_Step_Invoice_Protocol	Core
3.12.7.0	Invoice_Column_Deletion	Core
3.12.8.0	Add_More_Qubit_Run_Fields	Qubit
3.12.9.0	collboration_type	Core
3.12.10.0	add_created_date	Core
3.12.11.0	alter_Genome_table	Genomic
3.13.1.0	Save_Qubit_Output_File	Qubit
3.13.5.0	Add_Invoiceable_Work_Item_Comments	Core
3.13.3.0	add_Deviation_No	Core
3.13.4.0	Invoice_Protocol_Status	Core
3.13.6.0	4_Dropping_Columns_Invoiceable_Work_Table	Core
3.13.2.0	Dropping_Foreign_Key_IWR	Core
3.13.7.0	Invoice_Analysis_And_Run_Status	Core
3.13.8.0	Invoiced_Yes_No	Core
3.13.9.0	log_uploads	Core
3.14.1.0	Add_Analysis_to_Run_Link	SRA
3.14.2.0	Core_3_14	Core
3.13.10.0	add_Priority	Core
3.14.3.0	SOW_Column_Adding	Core
3.14.5.0	set_text_field_not_null	Core
3.14.6.0	update_Priority_Object	Core
3.14.7.0	add_grp_access	Core
3.14.8.0	update_Grp_Access	Core
3.14.9.0	update_Object_ID	Core
3.15.1.0	Adding_Invoice_Status_Column	Core
3.15.2.0	SolexaRun_Mode	Illumina
3.15.3.0	add_Process_Deviation_Object	Core
3.15.4.0	Package_Conditon_Table	Core
3.15.5.0	add_Plate_QC	Core
3.15.6.0	Pathology_Recurrent_Relapse	Core
3.15.7.0	parent_contact	Core
3.15.8.0	create_Bioanalyzer_Run	Bioanalyzer
3.15.9.0	create_Bioanalyzer_Run_Analysis	Bioanalyzer
3.15.10.0	Run_Types	Core
3.15.11.0	Core_3_15	Core
3.15.12.0	Multiplex_Run	Indexed_Run
3.15.13.0	add_Raindance_Run_3_15	Raindance
3.15.14.0	Solexa_Read_IDX_2	Illumina
3.15.15.0	add_Download_Request	SRA
3.15.16.0	remove_Obsolete_Submission_Fields	SRA
3.16.1.0	add_DBField_Relationship	Core
3.16.2.0	barcode_b_object	Core
3.16.3.0	Run_Analysis_Comment	Core
3.16.4.0	add_Lib_TechD_library	Core
3.16.5.0	add_SPRITE	Bioanalyzer
3.16.6.0	Change_FK_Library_Name_Length	Genomic
3.16.7.0	Change_FK_Library_Name_Length_2	Sequencing
3.16.8.0	Change_FK_Library_Name_Length_3	Core
3.16.9.0	change_library_update_Status_trigger_to_batch	Core
3.16.10.0	sample_request	Core
3.16.11.0	change_equipment_category_equ2740	Core
3.16.12.0	add_QPCR_Run_3_16	QPCR
3.16.13.0	add_tube_weight	Core
3.16.14.0	init_access	Core
3.16.15.0	correct_Package_Condition	Core
3.16.16.0	Source_Created	Core
3.16.17.0	Analysis_File_Comments	SRA
3.16.18.0	General_3_16	Core
3.16.19.0	Alternate_Primer_Identifier	Genomic
4.0.2.0	External_Analysis	Alignment_Analysis
4.0.3.0	add_patch_installer	Core
4.0.4.0	md5	Alignment_Analysis
4.0.5.0	factory_barcode_3_17	Core
4.0.6.0	add_QPCR_Quant	QPCR
4.0.7.0	Run_Analysis_Subscription	Alignment_Analysis
4.0.8.0	miRNA_External_Analysis	Alignment_Analysis
4.0.10.0	Error_Check_Email	Core
4.0.11.0	move_FKApplicable_Funding__ID_field	Core
4.0.12.0	add_IWR_FKApplicable_Funding__ID_DB_Trigger	Core
4.0.13.0	General_3_17	Core
4.0.14.0	primer_plate_canceled_status	Core
4.0.15.0	protocol_update_date	Core
4.0.16.0	db_access	Core
4.0.17.0	phix_spikein	Illumina
3.16.20.0	Multiplex_Run_Analysis_Test_Mode	Indexed_Run
3.16.21.0	Run_Analysis_Test_Mode	Core
3.16.22.0	Tube_Created	Core
4.0.18.0	submission_tracking_improvements	Core
4.0.19.0	add_attribute_tag	Core
4.0.20.0	Create_Delete_Modify_Invoice_Analysis_Related_Tables	Core
4.0.21.0	GSC_to_Model	Core
4.0.22.0	add_E_Gel	Gel
4.0.23.0	genesis	Alignment_Analysis
4.0.24.0	Download_Request_refinements	SRA
4.0.25.0	remove_old_SRA_tables	SRA
4.0.26.0	Data_File_Status	Core
4.0.27.0	remove_submission_file_uniqueness	SRA
4.0.28.0	add_Sample_to_Analysis_Submission	SRA

4.0.29.0	Analysis_Software_Version	Core
4.0.30.0	Default_BaseCalls_Folder	Illumina
4.0.31.0	Fix_External_Analysis_Type	Alignment_Analysis
4.0.32.0	goal_unique_name	Core
4.1.1.0	add_qc_category	Bioanalyzer
4.1.2.0	update_Amount_ng	Bioanalyzer
4.1.3.0	create_GrpPipeline_table	Core
4.1.4.0	update_FailReason	Gel
4.1.5.0	add_Fail_Status_to_Plate	Core
4.1.6.0	update_Plate_Status	Core
4.1.7.0	Solution_FB	Core
4.1.8.0	caliper_runs	Bioanalyzer
4.1.9.0	Run_Analysis_Md5_2	Core
4.1.10.0	add_Invoiceable_Analysis_Tracking	Core
4.1.11.0	update_Invoice_Pipeline	Core
4.1.12.0	update_Goal_Invoiceable_Analysis	Core
4.1.13.0	create_Gel_Run	Gel
4.1.14.0	create_Gel_Lane	Gel
4.1.15.0	create_Gel_Run_Analysis	Gel
4.1.16.0	Run_Analysis_Dissemination_Date	Core
4.1.17.0	add_Run_Work_Request_DB_Trigger	Core
4.1.18.0	add_Solexa_Work_Request_DB_Trigger	Core
4.1.19.0	create_AATI_Run	AATI
4.1.20.0	add_Analysis_Submission_to_Run_Link	SRA
4.1.21.0	add_Analysis_File_Submitted_Name	SRA
4.1.22.0	add_Invoice_Protocol_Priority	Core
4.1.23.0	add_Employee_Submission_Subscription_Event	Core
4.1.24.0	modify_Pipeline_Code_Length	Core
4.1.25.0	add_Goal_Nucleic_Acid_QC	Core
4.1.26.0	update_CLIPR	CLIPR
4.1.27.0	add_Invoice_Protocol_Type	Core
